Nation/State,Coverage,2014 Estimate,2013 Estimate,2012 Estimate,2011 Estimate,2010 Estimate
KENTUCKY,Uninsured,366,616,595,618,647
KENTUCKY,Private,"2,826","2,769","2,768","2,745","2,724"
KENTUCKY,..Employer-based,"2,325","2,329","2,330","2,315","2,272"
KENTUCKY,..Direct-purchase,539,494,512,515,527
KENTUCKY,..TRICARE,120,118,128,115,113
KENTUCKY,Public,"1,701","1,454","1,435","1,431","1,383"
KENTUCKY,..Medicaid,"1,030",790,801,809,786
KENTUCKY,..Medicare,802,770,751,742,711
KENTUCKY,..VA Care,113,123,119,120,114
MARYLAND,Total,"5,886","5,834","5,788","5,737","5,688"
MARYLAND,Any coverage,"5,423","5,241","5,191","5,138","5,047"
MARYLAND,Uninsured,463,593,598,598,641
MARYLAND,Private,"4,332","4,292","4,251","4,245","4,222"
MARYLAND,..Employer-based,"3,703","3,699","3,691","3,692","3,657"
MARYLAND,..Direct-purchase,726,671,685,687,683
MARYLAND,..TRICARE,206,222,209,202,199
MARYLAND,Public,"1,805","1,644","1,596","1,526","1,464"
MARYLAND,..Medicaid,"1,027",892,875,839,801
MARYLAND,..Medicare,876,839,809,781,751
MARYLAND,..VA Care,107,110,111,96,96
MINNESOTA,Total,"5,398","5,363","5,320","5,287","5,252"
MINNESOTA,Any coverage,"5,081","4,923","4,895","4,819","4,776"
MINNESOTA,Uninsured,317,440,425,467,476
MINNESOTA,Private,"4,133","4,081","4,063","3,989","4,022"
MINNESOTA,..Employer-based,"3,339","3,339","3,371","3,306","3,316"
MINNESOTA,..Direct-purchase,894,840,838,829,851
MINNESOTA,..TRICARE,71,75,77,69,70
MINNESOTA,Public,"1,651","1,506","1,484","1,454","1,412"
MINNESOTA,..Medicaid,895,779,773,773,745
MINNESOTA,..Medicare,828,801,788,753,741
MINNESOTA,..VA Care,136,132,127,120,121
NEBRASKA,Total,"1,854","1,841","1,827","1,814","1,802"
NEBRASKA,Any coverage,"1,674","1,632","1,621","1,607","1,594"
NEBRASKA,Uninsured,179,209,206,207,208
NEBRASKA,Private,"1,391","1,356","1,347","1,339","1,339"
NEBRASKA,..Employer-based,"1,077","1,066","1,068","1,051","1,045"
NEBRASKA,..Direct-purchase,330,311,300,312,319
NEBRASKA,..TRICARE,61,60,61,61,55
NEBRASKA,Public,506,492,489,483,477
NEBRASKA,..Medicaid,243,240,239,239,239
NEBRASKA,..Medicare,288,279,275,270,261
NEBRASKA,..VA Care,53,51,51,52,49
NORTH CAROLINA,Total,"9,752","9,645","9,553","9,461","9,361"
NORTH CAROLINA,Any coverage,"8,476","8,136","7,970","7,916","7,791"
NORTH CAROLINA,Uninsured,"1,276","1,509","1,582","1,545","1,570"
NORTH CAROLINA,Private,"6,392","6,104","5,991","6,019","5,990"
NORTH CAROLINA,..Employer-based,"4,887","4,786","4,765","4,816","4,758"
NORTH CAROLINA,..Direct-purchase,"1,443","1,300","1,268","1,284","1,287"
NORTH CAROLINA,..TRICARE,436,422,430,423,398
NORTH CAROLINA,Public,"3,254","3,153","3,067","2,956","2,845"
NORTH CAROLINA,..Medicaid,"1,781","1,729","1,706","1,653","1,577"
NORTH CAROLINA,..Medicare,"1,677","1,619","1,562","1,490","1,437"
NORTH CAROLINA,..VA Care,257,253,242,229,215
SOUTH CAROLINA,Total,"4,734","4,678","4,623","4,579","4,537"
SOUTH CAROLINA,Any coverage,"4,092","3,939","3,845","3,813","3,742"
SOUTH CAROLINA,Uninsured,642,739,778,766,795
SOUTH CAROLINA,Private,"3,005","2,912","2,866","2,862","2,851"
SOUTH CAROLINA,..Employer-based,"2,381","2,370","2,332","2,331","2,336"
SOUTH CAROLINA,..Direct-purchase,599,537,548,546,544
SOUTH CAROLINA,..TRICARE,223,220,236,223,222
SOUTH CAROLINA,Public,"1,714","1,615","1,553","1,489","1,435"
SOUTH CAROLINA,..Medicaid,922,869,840,805,778
SOUTH CAROLINA,..Medicare,887,845,816,786,750
SOUTH CAROLINA,..VA Care,151,142,138,128,129
TENNESSEE,Total,"6,449","6,395","6,355","6,302","6,260"
TENNESSEE,Any coverage,"5,672","5,508","5,473","5,380","5,361"
TENNESSEE,Uninsured,776,887,882,923,899
TENNESSEE,Private,"4,180","4,079","4,102","3,997","4,043"
TENNESSEE,..Employer-based,"3,295","3,281","3,363","3,273","3,305"
TENNESSEE,..Direct-purchase,897,804,822,777,807
TENNESSEE,..TRICARE,218,226,200,211,215
TENNESSEE,Public,"2,280","2,197","2,129","2,101","2,052"
TENNESSEE,..Medicaid,"1,290","1,243","1,195","1,211","1,185"
TENNESSEE,..Medicare,"1,149","1,111","1,089","1,051","1,028"
TENNESSEE,..VA Care,170,155,150,149,146
VERMONT,Total,620,621,620,620,620
VERMONT,Any coverage,590,576,580,579,570
VERMONT,Uninsured,31,45,40,41,50
VERMONT,Private,419,415,426,426,418
VERMONT,..Employer-based,338,347,359,355,348
VERMONT,..Direct-purchase,88,75,77,78,79
VERMONT,..TRICARE,13,13,11,17,13
VERMONT,Public,259,246,238,238,237
VERMONT,..Medicaid,161,152,148,152,151
VERMONT,..Medicare,122,118,113,107,106
VERMONT,..VA Care,17,14,14,15,15
