Nation/State,Coverage,2014,2013,2012,2011,2010
MARYLAND,Total,5886,5834,5788,5737,5688
MARYLAND,Any coverage,5423,5241,5191,5138,5047
MARYLAND,Uninsured,463,593,598,598,641
MARYLAND,Private,4332,4292,4251,4245,4222
MARYLAND,..Employer-based,3703,3699,3691,3692,3657
MARYLAND,..Direct-purchase,726,671,685,687,683
MARYLAND,..TRICARE,206,222,209,202,199
MARYLAND,Public,1805,1644,1596,1526,1464
MARYLAND,..Medicaid,1027,892,875,839,801
MARYLAND,..Medicare,876,839,809,781,751
MARYLAND,..VA Care,107,110,111,96,96
MINNESOTA,Total,5398,5363,5320,5287,5252
MINNESOTA,Any coverage,5081,4923,4895,4819,4776
MINNESOTA,Uninsured,317,440,425,467,476
MINNESOTA,Private,4133,4081,4063,3989,4022
MINNESOTA,..Employer-based,3339,3339,3371,3306,3316
MINNESOTA,..Direct-purchase,894,840,838,829,851
MINNESOTA,..TRICARE,71,75,77,69,70
MINNESOTA,Public,1651,1506,1484,1454,1412
MINNESOTA,..Medicaid,895,779,773,773,745
MINNESOTA,..Medicare,828,801,788,753,741
MINNESOTA,..VA Care,136,132,127,120,121
NEBRASKA,Total,1854,1841,1827,1814,1802
NEBRASKA,Any coverage,1674,1632,1621,1607,1594
NEBRASKA,Uninsured,179,209,206,207,208
NEBRASKA,Private,1391,1356,1347,1339,1339
NEBRASKA,..Employer-based,1077,1066,1068,1051,1045
NEBRASKA,..Direct-purchase,330,311,300,312,319
NEBRASKA,..TRICARE,61,60,61,61,55
NEBRASKA,Public,506,492,489,483,477
NEBRASKA,..Medicaid,243,240,239,239,239
NEBRASKA,..Medicare,288,279,275,270,261
NEBRASKA,..VA Care,53,51,51,52,49
NORTH CAROLINA,Total,9752,9645,9553,9461,9361
NORTH CAROLINA,Any coverage,8476,8136,7970,7916,7791
NORTH CAROLINA,Uninsured,1276,1509,1582,1545,1570
NORTH CAROLINA,Private,6392,6104,5991,6019,5990
NORTH CAROLINA,..Employer-based,4887,4786,4765,4816,4758
NORTH CAROLINA,..Direct-purchase,1443,1300,1268,1284,1287
NORTH CAROLINA,..TRICARE,436,422,430,423,398
NORTH CAROLINA,Public,3254,3153,3067,2956,2845
NORTH CAROLINA,..Medicaid,1781,1729,1706,1653,1577
NORTH CAROLINA,..Medicare,1677,1619,1562,1490,1437
NORTH CAROLINA,..VA Care,257,253,242,229,215
SOUTH CAROLINA,Total,4734,4678,4623,4579,4537
SOUTH CAROLINA,Any coverage,4092,3939,3845,3813,3742
SOUTH CAROLINA,Uninsured,642,739,778,766,795
SOUTH CAROLINA,Private,3005,2912,2866,2862,2851
SOUTH CAROLINA,..Employer-based,2381,2370,2332,2331,2336
SOUTH CAROLINA,..Direct-purchase,599,537,548,546,544
SOUTH CAROLINA,..TRICARE,223,220,236,223,222
SOUTH CAROLINA,Public,1714,1615,1553,1489,1435
SOUTH CAROLINA,..Medicaid,922,869,840,805,778
SOUTH CAROLINA,..Medicare,887,845,816,786,750
SOUTH CAROLINA,..VA Care,151,142,138,128,129
TENNESSEE,Total,6449,6395,6355,6302,6260
TENNESSEE,Any coverage,5672,5508,5473,5380,5361
TENNESSEE,Uninsured,776,887,882,923,899
TENNESSEE,Private,4180,4079,4102,3997,4043
TENNESSEE,..Employer-based,3295,3281,3363,3273,3305
TENNESSEE,..Direct-purchase,897,804,822,777,807
TENNESSEE,..TRICARE,218,226,200,211,215
TENNESSEE,Public,2280,2197,2129,2101,2052
TENNESSEE,..Medicaid,1290,1243,1195,1211,1185
TENNESSEE,..Medicare,1149,1111,1089,1051,1028
TENNESSEE,..VA Care,170,155,150,149,146
VERMONT,Total,620,621,620,620,620
VERMONT,Any coverage,590,576,580,579,570
VERMONT,Uninsured,31,45,40,41,50
VERMONT,Private,419,415,426,426,418
VERMONT,..Employer-based,338,347,359,355,348
VERMONT,..Direct-purchase,88,75,77,78,79
VERMONT,..TRICARE,13,13,11,17,13
VERMONT,Public,259,246,238,238,237
VERMONT,..Medicaid,161,152,148,152,151
VERMONT,..Medicare,122,118,113,107,106
VERMONT,..VA Care,17,14,14,15,15
